"YEAR","N_DOCS"
"2026","4"
"2025","833825"
"2024","3341938"
"2023","3097685"
"2022","3153963"
"2021","3061424"
"2020","2827371"
"2019","2573840"
"2018","2340401"
"2017","2223598"
"2016","2177732"
"2015","2122918"
"2014","2056350"
"2013","1975457"
"2012","1859203"
"2011","1767796"
"2010","1653286"
"2009","1606776"
"2008","1517702"
"2007","1469151"
"2006","1400430"
"2005","1296303"
"2004","1220786"
"2003","1152340"
"2002","1119475"
"2001","1103569"
"2000","1069252"
"1999","1039634"
"1998","1022296"
"1997","1011761"
"1996","998354"
"1995","862236"
"1994","835193"
"1993","796317"
"1992","757819"
"1991","758462"
"1990","744601"
"1989","755762"
"1988","736019"
"1987","702012"
"1986","684960"
"1985","691489"
"1984","670660"
"1983","631087"
"1982","618988"
"1981","603947"
"1980","581517"
"1979","577921"
"1978","549240"
"1977","527216"
"1976","511689"
"1975","508829"
"1974","505738"
"1973","476244"
"1972","395868"
"1971","383272"
"1970","369068"
"1969","351642"
"1968","315215"
"1967","289929"
"1966","267080"
"1965","256000"
"1964","235067"
"1963","213395"
"1962","189524"
"1961","180213"
"1960","168858"
"1959","161616"
"1958","152374"
"1957","151898"
"1956","145036"
"1955","143966"
"1954","137153"
"1953","137570"
"1952","137744"
"1951","131905"
"1950","112418"
"1949","85255"
"1948","86588"
"1947","77553"
"1946","62333"
"1945","32411"
"1944","20832"
"1943","22237"
"1942","24925"
"1941","26245"
"1940","27591"
"1939","31182"
"1938","30950"
"1937","31093"
"1936","31169"
"1935","30553"
"1934","30124"
"1933","30623"
"1932","30711"
"1931","29056"
"1930","30395"
"1929","27615"
"1928","27607"
"1927","25899"
"1926","24629"
"1925","22784"
"1924","21924"
"1923","20055"
"1922","19370"
"1921","17047"
"1920","14287"
"1919","12089"
"1918","11705"
"1917","11581"
"1916","12906"
"1915","13640"
"1914","16010"
"1913","16800"
"1912","16346"
"1911","15007"
"1910","14826"
"1909","15025"
"1908","14567"
"1907","13875"
"1906","12920"
"1905","12381"
"1904","11813"
"1903","11522"
"1902","11249"
"1901","10869"
"1900","10590"
"1899","10363"
"1898","9954"
"1897","10036"
"1896","9353"
"1895","8982"
"1894","9424"
"1893","9252"
"1892","9056"
"1891","8497"
"1890","7326"
"1889","7588"
"1888","7487"
"1887","7320"
"1886","6674"
"1885","6592"
"1884","6943"
"1883","6485"
"1882","6331"
"1881","6214"
"1880","6038"
"1879","5576"
"1878","5306"
"1877","5187"
"1876","4979"
"1875","4443"
"1874","4570"
"1873","4332"
"1872","4226"
"1871","3795"
"1870","4046"
"1869","3766"
"1868","3488"
"1867","3214"
